SP;TRAT;H;SLA;LT;LDMC;N;P
CB;P;3.7;64.09100204;0.182;0.546;10.35;0.64
CB;P;3.4;74.82232822;0.167;0.518;11.05;0.6
CB;P;4;66.968;0.191;0.593;9.23;0.5
CB;P;3.4;73.19182727;0.174;0.546;6.85;0.52
CB;P;2.8;57.7379342;0.206;0.555;10.77;0.62
CB;P;2.9;60.89846058;0.2;0.581;9.23;0.56
CB;P;3.2;68.3729758;0.179;0.563;10.21;0.68
CB;P;3.4;63.19718567;0.198;0.58;11.75;0.6
CB;P;5.1;55.94048793;0.215;0.536;11.47;0.62
CB;N;4.5;55.49476708;0.206;0.579;8.67;0.41
CB;N;2.1;79.3798178;0.159;0.573;11.33;0.55
CB;N;2.9;38.28649656;0.146;0.551;10.77;0.47
CB;N;4.4;87.13044371;0.142;0.534;12.59;0.53
CB;N;4.6;58.6159322;0.212;0.542;13.29;0.58
CB;N;5.7;70.44983152;0.178;0.528;6.43;0.52
CB;N;3.5;60.11359497;0.178;0.521;13.15;0.6
CB;N;4.6;60.65603914;0.175;0.585;13.15;0.59
CB;N;1.7;72.5273717;0.153;0.497;14.55;0.61
CB;N;3;44.10762003;0.21;0.501;10.63;0.53
CB;Ca;3.5;76.50495434;0.141;0.505;12.45;0.6
CB;Ca;2.7;67.6104373;0.184;0.481;11.33;0.57
CB;Ca;2.3;73.67661866;0.191;0.47;13.85;0.6
CB;Ca;3.3;72.26239715;0.178;0.48;12.17;0.64
CB;Ca;3.4;69.70436898;0.182;0.494;12.31;0.64
CB;Ca;2.1;90.45178571;0.153;0.457;14.83;0.68
CB;Ca;3.2;77.79775853;0.159;0.525;8.95;0.48
CB;Ca;3.6;61.9029467;0.198;0.527;10.07;0.55
CB;Ca;3.7;62.20757759;0.2;0.531;9.09;0.45
CB;Ca;3.7;79.50746514;0.167;0.481;10.77;0.55
SF;C;2.6;55.1555295;0.299;0.557;9.09;0.44
SF;C;2.5;50.70143416;0.347;0.523;12.45;0.66
SF;C;2.2;58.34861863;0.25;0.516;11.47;0.61
SF;C;2.4;60.95360825;0.244;0.555;11.33;0.51
SF;C;3.5;63.09010712;0.302;0.469;10.91;0.57
SF;C;2.6;55.60368957;0.298;0.534;8.11;0.41
